OID_,LAT,LONG,SymbolID,B04,B05,B06
42743,20.523267290000035,104.71202291200008,5,0.06005,0.08015,0.1232
42744,20.52339447600008,104.71502666000004,5,0.0667,0.0782,0.1146
42745,20.523465217000023,104.70910643900004,5,0.0485,0.04795,0.0686
42746,20.524160833000053,104.71876640500004,5,0.03975,0.0513,0.0768
42747,20.52367126700005,104.71728880600004,5,0.0441,0.06275,0.0882
42748,20.523042667000027,104.71153343000007,5,0.06005,0.08665,0.137
42749,20.523074414000064,104.71443789800009,5,0.067,0.0921,0.1458
42750,20.523093266000046,104.70533878200006,5,0.0552,0.06555,0.09825
42751,20.523653075000027,104.71386719300004,5,0.0483,0.06525,0.0927
42752,20.52306091400004,104.70562234300009,5,0.0552,0.06485,0.09605
42753,20.522953439000048,104.70834054400008,5,0.04875,0.05995,0.09
42754,20.523274763000074,104.71641886100008,5,0.06475,0.0805,0.1144
42755,20.52364688900008,104.71912510100007,5,0.05515,0.0682,0.1023
42756,20.523502111000028,104.71819222000003,5,0.0616,0.0645,0.0951
42757,20.523921694000023,104.71828753100004,5,0.04495,0.0554,0.0837
42758,20.523742625000068,104.71781076800004,5,0.04495,0.05855,0.08565
42759,20.522934270000064,104.71051474800004,5,0.05575,0.0847,0.1295
42760,20.521936675000063,104.70811815500008,5,0.06905,0.09275,0.1481
42761,20.52347750700005,104.71063709500004,5,0.05575,0.06215,0.0918
42762,20.52298702500008,104.71015630600004,5,0.05235,0.0793,0.1172
42763,20.52246421800004,104.70634381800004,5,0.0588,0.0816,0.1134
42764,20.52096816200003,104.70657880800007,5,0.0623,0.0775,0.12
42765,20.522300782000052,104.70842010100004,5,0.06905,0.07925,0.122
42766,20.52339506200008,104.71464948100004,5,0.067,0.0764,0.111
42767,20.52335605600007,104.71410894300004,5,0.0623,0.078,0.116
42768,20.523513182000045,104.71509709300004,5,0.0667,0.07415,0.1046
42769,20.52255086600008,104.70885580500004,5,0.05635,0.0745,0.1141
42770,20.523181256000044,104.70986888600004,5,0.05235,0.06315,0.09115
42771,20.523491379000063,104.71212578300003,5,0.06015,0.0684,0.09615
42772,20.523449340000077,104.71695749000008,5,0.06395,0.0747,0.1049
42773,20.52325453800006,104.71432744500004,5,0.0623,0.0845,0.1278
42774,20.523365421000047,104.71941377600004,5,0.065,0.0863,0.1192
42775,20.52290168200005,104.70806163600008,5,0.0558,0.06125,0.0924
42776,20.52368078700005,104.71551151200003,5,0.05315,0.06695,0.0943
42777,20.52333029100004,104.71709115100003,5,0.06395,0.08025,0.1107
42778,20.522511764000058,104.70844650000004,5,0.0558,0.06895,0.10465
42779,20.52256623100004,104.70860372800009,5,0.0558,0.06805,0.1007
42780,20.523769396000034,104.71838812300004,5,0.04495,0.05635,0.08285
42781,20.522339308000028,104.70777931100008,5,0.07045,0.0803,0.1189
42782,20.52254116200004,104.70525855300008,5,0.0617,0.0774,0.1221
42783,20.523407444000043,104.71111711400005,5,0.059,0.06775,0.0972
42784,20.523191139000065,104.70618395300004,5,0.05475,0.063,0.09295
42785,20.525094840000065,104.72569554400008,5,0.06215,0.075,0.1048
42786,20.52720714100008,104.73322011500004,5,0.0701,0.08255,0.1241
42787,20.525946083000065,104.72719182700008,5,0.0598,0.07325,0.1028
42788,20.526347654000062,104.72731474000004,5,0.04565,0.06135,0.0888
42789,20.52750949800003,104.73228337200004,5,0.04695,0.06255,0.0834
42790,20.528508910000028,104.74541782100005,5,0.06725,0.0852,0.1096
42791,20.525544629000024,104.72550047400004,5,0.04725,0.05525,0.0847
42792,20.52518026200005,104.72555253000009,5,0.04725,0.0636,0.09685
42793,20.52826396600005,104.73692340400004,5,0.048,0.05925,0.0824
42794,20.52766015700007,104.73333237200006,5,0.053,0.06125,0.08635
42795,20.52728954600008,104.73291047400004,5,0.0701,0.0752,0.114
42796,20.52846297000008,104.74315370900004,5,0.0627,0.07645,0.1148
42797,20.52806835300004,104.73608672500006,5,0.04405,0.05965,0.0845
42798,20.52777604700003,104.73151999800008,5,0.04335,0.05325,0.0767
42799,20.527189234000048,104.73014320900006,5,0.052,0.06265,0.08525
42800,20.528484256000077,104.73882053900007,5,0.04765,0.0641,0.09
42801,20.52872411000004,104.74414787500008,5,0.06405,0.0765,0.1087
42802,20.52956715700003,104.74644845400007,5,0.04925,0.0637,0.0931
42803,20.52736548000007,104.73106071400008,5,0.04265,0.0617,0.08635
42804,20.52798128200004,104.74174866900006,5,0.0749,0.1043,0.1582
42805,20.525934145000065,104.72602473100004,5,0.04225,0.04965,0.07485
42806,20.525493750000063,104.72618693500004,5,0.05865,0.0723,0.1083
42807,20.527606096000056,104.73594261900008,5,0.0613,0.0722,0.102
42808,20.52717160400005,104.73153355100004,5,0.05955,0.07205,0.10115
42809,20.528009096000066,104.73920942500008,5,0.05545,0.07835,0.1087
42810,20.528837570000064,104.74616536200004,5,0.06985,0.0873,0.1286
