OID_,LAT,LONG,SymbolID,B04,B05,B06
267,19.84279378,105.3516588,0,0.0496,0.0738,0.074
268,19.84276661,105.3514596,0,0.0417,0.0643,0.0545
269,19.84276192,105.3515905,0,0.0493,0.0812,0.077
270,19.84276789,105.3514965,0,0.0417,0.0643,0.0545
271,19.84281279,105.3516187,0,0.0739,0.0947,0.1188
272,19.84275205,105.3515644,0,0.0493,0.0812,0.077
273,19.84281737,105.3516262,0,0.0739,0.0947,0.1188
274,19.84275047,105.3515125,0,0.0417,0.0643,0.0545
275,19.84274745,105.351495,0,0.0417,0.0643,0.0545
276,19.8427463,105.3514622,0,0.0417,0.0643,0.0545
277,19.842792414,105.351684,0,0.0496,0.0738,0.074
278,19.84278436,105.3514849,0,0.0417,0.0643,0.0545
279,19.842768347,105.3515432,0,0.0493,0.0812,0.077
280,19.84273345,105.3514793,0,0.0417,0.0643,0.0545
281,19.84274567,105.3515075,0,0.0417,0.0643,0.0545
282,19.84279392,105.3516826,0,0.0496,0.0738,0.074
283,19.84275917,105.3515411,0,0.0417,0.0643,0.0545
284,19.84280397,105.3515236,0,0.0532,0.0754,0.0684
285,19.84277824,105.3515709,0,0.0493,0.0812,0.077
286,19.84282616,105.3516338,0,0.078,0.1136,0.1212
287,19.84273963,105.3514949,0,0.0417,0.0643,0.0545
288,19.84278493,105.3514945,0,0.0417,0.0643,0.0545
289,19.84276433,105.3515101,0,0.0417,0.0643,0.0545
290,19.84275222,105.3514931,0,0.0417,0.0643,0.0545
291,19.84273983,105.3515182,0,0.0417,0.0643,0.0545
292,19.84279218,105.3516897,0,0.0496,0.0738,0.074
293,19.842756385,105.351466,0,0.0417,0.0643,0.0545
294,19.84280578,105.351599,0,0.0739,0.0947,0.1188
295,19.84275843,105.3514626,0,0.0417,0.0643,0.0545
296,19.84278398,105.3514945,0,0.0417,0.0643,0.0545
297,19.84280014,105.3515315,0,0.0532,0.0754,0.0684
298,19.842781576,105.3516196,0,0.0493,0.0812,0.077
299,19.84279985,105.3515974,0,0.0739,0.0947,0.1188
300,19.84208873,105.3519145,0,0.0518,0.0674,0.0938
301,19.84203838,105.3520431,0,0.061,0.0798,0.0978
302,19.84206552,105.3519385,0,0.0508,0.0708,0.0827
303,19.84203639,105.3520349,0,0.061,0.0798,0.0978
304,19.84208227,105.352023327,0,0.0653,0.085,0.1094
305,19.84206136,105.3519165,0,0.0508,0.0708,0.0827
306,19.84201224,105.352013,0,0.061,0.0798,0.0978
307,19.84207902,105.3519027,0,0.0518,0.0674,0.0938
308,19.8419812,105.3520182,0,0.0612,0.0842,0.0992
309,19.84211405,105.3519609,0,0.0518,0.0674,0.0938
310,19.842018165,105.3520149,0,0.061,0.0798,0.0978
311,19.84208939,105.3519319,0,0.0518,0.0674,0.0938
312,19.84201239,105.3520323,0,0.061,0.0798,0.0978
313,19.84198334,105.3520455,0,0.0612,0.0842,0.0992
314,19.84203825,105.3519987,0,0.061,0.0798,0.0978
315,19.84211605,105.3519347,0,0.0518,0.0674,0.0938
316,19.84204668,105.3519601,0,0.0508,0.0708,0.0827
317,19.84201088,105.351997523,0,0.061,0.0798,0.0978
318,19.84203733,105.3519428,0,0.0508,0.0708,0.0827
319,19.84198026,105.3520488,0,0.0612,0.0842,0.0992
320,19.84203374,105.351996,0,0.061,0.0798,0.0978
321,19.84209854,105.352019825,0,0.0653,0.085,0.1094
322,19.84206253,105.3519321,0,0.0508,0.0708,0.0827
323,19.84205197,105.3519811,0,0.0508,0.0708,0.0827
324,19.84208598,105.3519606,0,0.0518,0.0674,0.0938
325,19.84207257,105.3519156,0,0.0508,0.0708,0.0827
326,19.84210446,105.3519457,0,0.0518,0.0674,0.0938
327,19.84199172,105.3520126,0,0.061,0.0798,0.0978
328,19.84213404,105.3519445,0,0.0518,0.0674,0.0938
329,19.84209125,105.352025,0,0.0653,0.085,0.1094
330,19.84204285,105.351998,0,0.061,0.0798,0.0978
331,19.84198034,105.3520175,0,0.0612,0.0842,0.0992
332,19.84198437,105.3520453,0,0.0612,0.0842,0.0992
333,19.84209745,105.3519429,0,0.0518,0.0674,0.0938
334,19.842046342,105.3519883,0,0.0508,0.0708,0.0827
335,19.84209644,105.3519969,0,0.0653,0.085,0.1094
336,19.84206258,105.3519451,0,0.0508,0.0708,0.0827
337,19.84205392,105.3520393,0,0.061,0.0798,0.0978
338,19.842106635,105.351959533,0,0.0518,0.0674,0.0938
339,19.84205082,105.3519905,0,0.0508,0.0708,0.0827
340,19.84202044,105.3520303,0,0.061,0.0798,0.0978
341,19.8420886,105.3519854,0,0.0518,0.0674,0.0938
342,19.84210643,105.3520014,0,0.0653,0.085,0.1094
343,19.84207944,105.351977,0,0.0518,0.0674,0.0938
344,19.84209483,105.3519238,0,0.0518,0.0674,0.0938
345,19.84205588,105.3520189,0,0.061,0.0798,0.0978
346,19.84208552,105.3519662,0,0.0518,0.0674,0.0938
347,19.84207671,105.351910354,0,0.0508,0.0708,0.0827
348,19.84201453,105.352038,0,0.061,0.0798,0.0978
349,19.84203545,105.3520102,0,0.061,0.0798,0.0978
350,19.84205225,105.3520207,0,0.061,0.0798,0.0978
351,19.84210999,105.35196,0,0.0518,0.0674,0.0938
352,19.84205945,105.35201,0,0.061,0.0798,0.0978
353,19.8421016,105.351976571,0,0.0518,0.0674,0.0938
354,19.84207845,105.3519873,0,0.0518,0.0674,0.0938
355,19.84205271,105.35199,0,0.0508,0.0708,0.0827
356,19.842066108,105.3519289,0,0.0508,0.0708,0.0827
357,19.84207169,105.3519805,0,0.0508,0.0708,0.0827
358,19.84198597,105.35201649,0,0.0612,0.0842,0.0992
359,19.84203657,105.3520074,0,0.061,0.0798,0.0978
360,19.84206698,105.3519896,0,0.0508,0.0708,0.0827
361,19.84209491,105.351955809,0,0.0518,0.0674,0.0938
362,19.84200242,105.3519888,0,0.0508,0.0708,0.0827
363,19.8421266,105.3519356,0,0.0518,0.0674,0.0938
